YEAR,MONTH,REGION,SECTIONS,WEIGHT,WGTADJ,STATUS,PRICE,SQFT,BEDROOMS,TITLED,LOCATION,FOUNDATION,SECURED
2014,1,4,2,5.784210526,1.081805946,2,96400,1836,3,1,1,1,9
2014,1,2,1,4.854545455,0.927452179,2,55800,1300,3,2,1,3,1
2014,1,2,1,4.854545455,0.927452179,2,57300,1300,3,2,1,3,1
2014,1,3,1,34.77857143,0.927452179,1,49200,1088,1,9,9,9,9
2014,1,4,1,11.56842105,0.927452179,2,42700,600,1,2,3,2,1
2014,1,3,2,17.38928571,1.081805946,2,49900,1792,3,2,3,3,1
2014,1,3,2,17.38928571,1.081805946,1,50700,1000,3,9,9,9,9
2014,1,2,2,2.427272727,1.081805946,2,95200,1404,3,2,1,2,1
2014,1,1,2,2.408333333,1.081805946,2,93000,1736,1,2,3,3,1
2014,1,3,2,17.38928571,1.081805946,2,60000,1568,3,2,3,2,1
2014,1,3,1,34.77857143,0.927452179,1,48900,1080,3,9,9,9,9
2014,1,3,2,17.38928571,1.081805946,2,79600,1344,3,2,3,3,1
2014,1,2,2,17.38928571,1.081805946,2,87300,1568,3,2,1,3,1
2014,1,4,2,5.784210526,1.081805946,2,96000,1404,3,1,3,1,9
2014,1,1,2,2.408333333,1.081805946,2,65900,1792,3,2,3,3,1
2014,1,2,2,2.427272727,1.081805946,2,78000,1296,3,3,1,3,1
2014,1,3,1,34.77857143,0.927452179,1,53600,1216,3,9,9,9,9
2014,1,4,2,5.784210526,1.081805946,2,185900,1512,3,2,1,2,1
2014,1,5,3,11.59285714,1.081805946,2,89200,1624,3,2,1,3,1
2014,1,2,2,2.427272727,1.081805946,2,72000,1680,3,1,3,3,1
2014,1,3,1,34.77857143,0.927452179,2,53600,1216,3,1,3,1,9
2014,1,4,2,5.784210526,1.081805946,2,92000,1344,3,2,1,2,1
2014,1,3,2,17.38928571,1.081805946,1,87700,1568,3,9,9,9,9
2014,1,5,3,3.856140351,1.081805946,2,144400,2560,3,1,3,2,1
2014,1,1,1,4.816666667,0.927452179,2,41500,756,1,1,3,2,1
2014,1,4,2,5.784210526,1.081805946,2,81700,1404,1,2,1,3,1
2014,1,4,2,5.784210526,1.081805946,2,61700,1404,3,2,3,2,1
2014,1,3,2,17.38928571,1.081805946,2,51700,1984,3,3,3,3,1
2014,1,3,2,17.38928571,1.081805946,1,60000,1568,3,9,9,9,9
2014,1,1,2,2.408333333,1.081805946,2,75800,1232,1,3,1,2,1
2014,1,4,2,5.784210526,1.081805946,2,121100,2500,3,1,1,1,9
2014,1,1,2,2.408333333,1.081805946,2,106400,2000,3,2,1,3,1
2014,1,3,1,34.77857143,0.927452179,2,42700,896,1,2,3,3,1
2014,1,2,1,4.854545455,0.927452179,2,45800,1056,3,2,3,2,1
2014,1,3,1,34.77857143,0.927452179,2,53600,1216,3,2,3,1,9
2014,1,1,1,4.816666667,0.927452179,2,50000,1120,3,1,3,3,1
2014,1,2,1,4.854545455,0.927452179,2,48800,1216,3,2,1,3,1
2014,1,3,2,17.38928571,1.081805946,2,114200,1680,3,1,3,3,1
2014,1,4,2,5.784210526,1.081805946,2,62100,1568,3,2,3,1,9
2014,1,1,2,2.408333333,1.081805946,2,75800,1232,3,2,1,3,1
2014,1,4,2,5.784210526,1.081805946,2,185900,1620,3,2,1,3,1
2014,1,1,1,4.816666667,0.927452179,1,46000,924,1,9,9,9,9
2014,1,4,2,5.784210526,1.081805946,2,185900,1620,3,2,1,3,1
2014,1,2,2,2.427272727,1.081805946,2,71500,1456,3,2,3,3,1
2014,1,2,1,4.854545455,0.927452179,2,33000,896,3,2,3,3,1
2014,1,3,2,17.38928571,1.081805946,3,9,9,9,9,9,9,9
2014,1,3,2,17.38928571,1.081805946,2,81800,1408,3,2,1,3,1
2014,1,5,3,3.856140351,1.081805946,3,9,9,9,9,9,9,9
2014,1,3,1,34.77857143,0.927452179,2,55800,1280,3,2,1,3,1
2014,1,3,2,17.38928571,1.081805946,2,81900,1848,3,2,3,3,1
2014,1,3,1,34.77857143,0.927452179,2,43500,1216,3,1,3,3,1
2014,1,3,2,17.38928571,1.081805946,2,118000,2500,3,2,3,1,9
2014,1,1,2,2.408333333,1.081805946,2,75800,1232,3,2,1,3,1
2014,1,2,2,2.427272727,1.081805946,2,102200,1568,3,2,3,3,1
2014,1,2,2,2.427272727,1.081805946,2,89200,1624,3,2,3,3,1
2014,1,3,2,17.38928571,1.081805946,1,131700,2500,3,9,9,9,9
2014,1,4,2,5.784210526,1.081805946,2,67800,1056,3,1,3,1,9
2014,1,3,1,34.77857143,0.927452179,2,41400,1216,3,2,3,3,1
2014,1,2,2,2.427272727,1.081805946,1,39500,1456,3,9,9,9,9
2014,1,2,2,2.427272727,1.081805946,2,87300,1568,3,2,1,3,1
2014,1,1,2,2.408333333,1.081805946,1,70900,1456,3,9,9,9,9
2014,1,3,2,17.38928571,1.081805946,1,79500,1736,3,9,9,9,9
2014,1,1,2,2.408333333,1.081805946,2,79600,1344,3,2,3,2,1
2014,1,1,1,4.816666667,0.927452179,2,46500,1008,3,1,3,1,9
2014,1,2,1,4.854545455,0.927452179,1,56500,1216,3,9,9,9,9
2014,1,5,3,3.856140351,1.081805946,2,150600,2400,3,3,3,2,1
2014,1,2,2,2.427272727,1.081805946,2,71300,1904,3,2,1,2,1
2014,1,3,1,34.77857143,0.927452179,2,51400,1152,1,2,3,1,9
2014,1,2,2,2.427272727,1.081805946,2,103400,2040,3,2,3,3,1
2014,1,2,1,4.854545455,0.927452179,2,43600,924,3,3,1,3,1
2014,1,3,1,34.77857143,0.927452179,1,53600,1216,3,9,9,9,9
2014,1,4,1,11.56842105,0.927452179,2,48400,1064,1,2,1,3,1
2014,1,2,1,4.854545455,0.927452179,2,57300,1300,3,2,1,3,1
2014,1,4,2,5.784210526,1.081805946,2,73100,1152,3,2,3,2,1
2014,1,3,2,17.38928571,1.081805946,2,87300,1568,3,2,3,3,1
2014,1,1,2,2.408333333,1.081805946,2,106400,2000,3,2,3,3,1
2014,1,3,1,34.77857143,0.927452179,2,48000,1080,3,2,1,3,1
2014,1,2,2,2.427272727,1.081805946,2,116800,2400,3,2,1,3,1
2014,1,2,1,4.854545455,0.927452179,2,38800,700,1,3,3,3,1
2014,1,3,1,34.77857143,0.927452179,2,42700,896,1,2,1,3,1
2014,1,2,2,2.427272727,1.081805946,2,91100,1680,3,2,1,3,1
2014,1,3,2,17.38928571,1.081805946,3,9,9,9,9,9,9,9
2014,1,3,2,17.38928571,1.081805946,2,72200,1680,3,2,3,1,9
2014,1,3,2,17.38928571,1.081805946,2,96200,1568,3,2,3,1,9
2014,1,1,1,4.816666667,0.927452179,1,38800,784,1,9,9,9,9
2014,1,3,1,4.854545455,0.927452179,2,36000,700,1,1,3,3,1
2014,1,4,2,5.784210526,1.081805946,1,109800,2500,3,9,9,9,9
2014,1,2,2,2.427272727,1.081805946,2,53000,1456,3,2,3,1,9
2014,1,1,1,4.816666667,0.927452179,2,71000,1216,3,2,1,2,1
2014,1,2,2,2.427272727,1.081805946,2,89000,1344,3,1,3,1,9
2014,1,2,2,2.427272727,1.081805946,2,103400,2040,3,2,1,1,9
2014,1,1,1,4.816666667,0.927452179,1,43600,924,1,9,9,9,9
2014,1,3,1,34.77857143,0.927452179,2,35000,980,1,2,1,3,1
2014,1,3,2,17.38928571,1.081805946,1,71000,1344,3,9,9,9,9
2014,1,2,2,2.427272727,1.081805946,2,55000,1568,3,2,1,2,1
2014,1,3,2,17.38928571,1.081805946,2,131700,2240,3,2,3,2,1
2014,1,4,2,5.784210526,1.081805946,2,140400,2016,3,2,3,1,9
2014,1,1,2,2.408333333,1.081805946,2,77700,1288,3,3,3,2,1
2014,1,4,2,5.784210526,1.081805946,2,81700,1404,1,2,1,3,1
2014,1,5,3,11.59285714,1.081805946,2,69200,1100,3,2,3,3,1
2014,1,3,2,17.38928571,1.081805946,2,116800,2500,3,2,3,3,1
2014,1,4,2,5.784210526,1.081805946,2,87800,1350,3,2,3,2,1
2014,1,3,2,17.38928571,1.081805946,2,94900,1792,3,2,3,2,1
2014,1,4,2,5.784210526,1.081805946,2,75800,1232,1,2,1,3,1
2014,1,2,1,4.854545455,0.927452179,2,53600,1216,3,2,1,2,1
2014,1,3,1,34.77857143,0.927452179,2,66600,1088,1,2,3,3,1
2014,1,2,2,2.427272727,1.081805946,1,80000,1344,3,9,9,9,9
2014,1,4,2,5.784210526,1.081805946,2,137800,1456,3,2,1,2,1
2014,1,2,2,2.427272727,1.081805946,2,83400,1456,3,2,3,3,1
2014,1,2,2,2.427272727,1.081805946,2,94900,1792,3,2,1,3,1
2014,1,3,2,17.38928571,1.081805946,2,88000,1568,3,3,3,2,1
2014,1,3,1,34.77857143,0.927452179,2,54700,1216,3,2,3,3,1
2014,1,4,2,5.784210526,1.081805946,2,91100,1680,3,2,1,3,1
2014,1,4,2,5.784210526,1.081805946,2,70100,1064,3,2,1,3,1
2014,1,1,2,2.408333333,1.081805946,2,66000,1344,3,2,1,2,1
2014,1,3,2,17.38928571,1.081805946,2,94900,1792,3,1,3,1,9
2014,1,2,1,4.854545455,0.927452179,1,55800,1300,3,9,9,9,9
